championship_rank,season,team,championship_score,raw_finish_score,strength_of_schedule,sos_z_score,sos_adjustment,adjusted_finish_score
27,2026,Texas Tech,38.80597014925373,2.0582381478491203,0.6113,1.2896771016488229,0.3224192754122057,2.380657423261326
28,2026,Santa Clara,40.298507462686565,2.2888730453823927,0.5548,0.253447429244703,0.06336185731117575,2.3522349026935685
29,2026,Georgia,41.791044776119406,2.3103087137065885,0.5494,0.15440954905032767,0.038602387262581916,2.3489111009691706
30,2026,McNeese,43.28358208955224,2.5662815577575024,0.4924,-0.890990297445864,-0.222747574361466,2.3435339833960365
31,2026,Virginia Commonwealth,44.776119402985074,2.2582506620621112,0.5595,0.33964706571017916,0.08491176642754479,2.343162428489656
32,2026,Brigham Young,46.26865671641791,2.1289919703628204,0.585,0.8073259444058433,0.20183148610146082,2.330823456464281
33,2026,North Carolina,47.76119402985075,2.118515891858515,0.5862,0.8293343622268174,0.20733359055670436,2.325849482415219
34,2026,Iowa,49.25373134328358,2.1863491106679858,0.5627,0.3983361798994387,0.09958404497485968,2.2859331556428453
35,2026,Miami (FL),50.74626865671642,2.319192623636347,0.5311,-0.18121882271950202,-0.045304705679875504,2.2738879179564715
36,2026,Kansas,52.23880597014925,1.9233189549906278,0.6133,1.3263577980171104,0.3315894495042776,2.2549084044949055
37,2026,Kentucky,53.73134328358209,1.9845832574419187,0.5918,0.9320403120580211,0.23301007801450527,2.217593335456424
38,2026,North Carolina State,55.223880597014926,2.0056819330310125,0.5767,0.6551010544774509,0.16377526361936273,2.169457196650375
39,2026,Wisconsin,56.71641791044776,2.0242800248465826,0.5712,0.5542291394646615,0.13855728486616536,2.162837309712748
40,2026,Ohio State,58.208955223880594,1.9897407114748085,0.5739,0.6037480795618481,0.15093701989046202,2.1406777313652703
41,2026,UCLA,59.701492537313435,2.003025062771645,0.5662,0.46252739854394276,0.11563184963598569,2.1186569124076304
42,2026,SMU,61.19402985074627,1.9552013981030343,0.5725,0.5780715921040477,0.14451789802601192,2.099719296129046
43,2026,Texas A&M,62.6865671641791,2.0911169173087902,0.5425,0.027861146579735714,0.0069652866449339285,2.0980822039537244
44,2026,Texas,64.17910447761194,1.987000814019836,0.5649,0.4386849459045545,0.10967123647613862,2.096672050495975
45,2026,Hofstra,65.67164179104478,2.214089961905496,0.5145,-0.4856686025762888,-0.1214171506440722,2.092672811261424
46,2026,Clemson,67.16417910447761,2.0258428897050336,0.5506,0.17641796687129974,0.044104491717824934,2.0699473814228586
47,2026,Northern Iowa,68.65671641791045,2.135033559372777,0.5237,-0.3169373992821648,-0.0792343498205412,2.055799209552236
48,2026,Villanova,70.14925373134328,1.9349427623753588,0.5609,0.36532355316797954,0.09133088829199489,2.0262736506673535
49,2026,TCU,71.64179104477611,1.9233189549906267,0.5544,0.24611128997104634,0.061527822492761584,1.9848467774833882
50,2026,Hawaii,73.13432835820896,2.2527708671521665,0.4723,-1.2596312959471527,-0.3149078239867882,1.9378630431653783
51,2026,North Dakota State,74.6268656716418,2.3533412207935087,0.4473,-1.7181400005507461,-0.42953500013768653,1.9238062206558222
52,2026,Troy,76.11940298507463,2.005681933031011,0.5048,-0.6635699799624816,-0.1658924949906204,1.8397894380403907
53,2026,Kennesaw State,77.61194029850746,2.0056819330310125,0.501,-0.7332633030622281,-0.18331582576555702,1.8223661072654556
54,2026,Missouri,79.1044776119403,1.7541095303471752,0.5466,0.10305657413472481,0.025764143533681203,1.7798736738808565
55,2026,Wright State,80.59701492537313,2.0155279816392557,0.4877,-0.9771899339113391,-0.24429748347783478,1.7712304981614209
56,2026,UCF,82.08955223880596,1.5951954779587716,0.5737,0.6000800099250198,0.15002000248125494,1.7452154804400266
57,2026,Howard,83.58208955223881,2.233591584967359,0.4271,-2.088615033870449,-0.5221537584676123,1.711437826499747
58,2026,Tennessee State,85.07462686567165,2.0061800962046434,0.4721,-1.2632993655839813,-0.3158248413959953,1.6903552548086482
59,2026,Furman,86.56716417910448,1.8994852658992443,0.4885,-0.9625176553640248,-0.2406294138410062,1.6588558520582382
60,2026,UMBC,88.05970149253731,2.1679224298368895,0.4141,-2.327039560264317,-0.5817598900660792,1.5861625397708103
61,2026,California Baptist,89.55223880597015,1.8637054285460746,0.4777,-1.1605934157527764,-0.2901483539381941,1.5735570746078804
62,2026,Idaho,91.04477611940298,1.9095791402207567,0.4562,-1.5549109017118667,-0.3887277254279667,1.52085141479279
63,2026,Penn,92.53731343283582,1.619550122002972,0.5184,-0.414141244658128,-0.103535311164532,1.51601481083844
64,2026,Siena,94.02985074626865,1.801493639274347,0.4729,-1.2486270870366667,-0.3121567717591667,1.4893368675151804
65,2026,Queens (NC),95.5223880597015,1.5461996646463223,0.4756,-1.1991081469394782,-0.29977703673486955,1.2464226279114528
66,2026,LIU,97.01492537313433,1.6364551102218865,0.4332,-1.9767389099471726,-0.49418472748679315,1.1422703827350933
67,2026,Prairie View A&M,98.50746268656717,1.615825294090329,0.4334,-1.9730708403103432,-0.4932677100775858,1.1225575840127433
68,2026,Lehigh,100,1.3115355061498561,0.4538,-1.5989277373538118,-0.39973193433845294,0.9118035718114033
