round_number,region,round,bracket_game_id,team1,team1_seed,team2,team2_seed,next_game_id,next_slot,source_game_url,team1_championship_rank,team1_adjusted_finish_score,team2_championship_rank,team2_adjusted_finish_score,favorite,underdog,quality_gap,matchup_advantage,final_upset_score,upset_predicted,predicted_winner,predicted_winner_seed
2,West,Round of 64,W_R64_08,Omaha,15,St. John's (NY),2,W_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-21-st-johns-ny.html,64,1.3204332719257872,15,2.4874002529796604,St. John's (NY),Omaha,2.384104720479548,-0.3334285674501988,-1.883096635761905,FALSE,St. John's (NY),2
2,Midwest,Round of 64,M_R64_01,Southern Illinois–Edwardsville,16,Houston,1,M_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-14-houston.html,63,1.4480510051765356,4,3.0023713597900503,Houston,Southern Illinois–Edwardsville,3.1754647344220386,-0.15222283834685688,-2.216274915721182,FALSE,Houston,1
2,Midwest,Round of 64,M_R64_02,Georgia,9,Gonzaga,8,M_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-16-gonzaga.html,40,2.1197494559817907,5,2.8979790631644384,Gonzaga,Georgia,1.589917204362992,-0.6372084281294559,-1.6706546109654008,FALSE,Gonzaga,8
2,Midwest,Round of 64,M_R64_03,McNeese,12,Clemson,5,M_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-15-clemson.html,26,2.3349271153060336,23,2.362417014812336,Clemson,McNeese,0.05616165687849778,0.09960548549556988,0.06310040852454632,FALSE,Clemson,5
2,Midwest,Round of 64,M_R64_04,High Point,13,Purdue,4,M_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-12-purdue.html,33,2.2301194181655237,22,2.3816427703128564,Purdue,High Point,0.3095610629797791,-0.004697894758460039,-0.20591258569531645,FALSE,Purdue,4
2,Midwest,Round of 64,M_R64_05,Texas,11,Illinois,6,M_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-21-illinois.html,50,2.00545864639444,19,2.46059147574095,Illinois,Texas,0.9298329297289123,-0.38071905904989384,-0.9851104633736869,FALSE,Illinois,6
2,Midwest,Round of 64,M_R64_06,Troy,14,Kentucky,3,M_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-19-kentucky.html,56,1.8591100167618404,14,2.5030302958902775,Kentucky,Troy,1.3155242624741783,-0.1741155934931154,-1.0292063641013314,FALSE,Kentucky,3
2,Midwest,Round of 64,M_R64_07,Utah State,10,UCLA,7,M_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-21-ucla.html,28,2.3140195722571506,27,2.3204862041174343,UCLA,Utah State,0.013211280005354431,0.051232899381198294,0.042645567377717915,FALSE,UCLA,7
2,Midwest,Round of 64,M_R64_08,Wofford,15,Tennessee,2,M_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-18-tennessee.html,59,1.716425788649167,7,2.762518249969838,Tennessee,Wofford,2.137158990428664,-0.3747196873187506,-1.7638730310973822,FALSE,Tennessee,2
3,South,Round of 32,S_R32_01,Auburn,1,Louisville,8,S_S16_01,1,,2,3.1539289688098515,20,2.3834187392818333,Auburn,Louisville,1.5741465741700569,-0.1433304049712114,-1.1665256781817483,FALSE,Auburn,1
3,South,Round of 32,S_R32_02,UC San Diego,12,Yale,13,S_S16_01,2,,9,2.7123291244522254,29,2.309193295203741,UC San Diego,Yale,0.8236034516056101,-0.09202683038207712,-0.6273690739257237,FALSE,UC San Diego,12
3,South,Round of 32,S_R32_03,Mississippi,6,Iowa State,3,S_S16_02,1,,38,2.191418581605381,18,2.4730819740570373,Iowa State,Mississippi,0.5754361815137571,-0.08707627639494303,-0.46110979437888516,FALSE,Iowa State,3
3,South,Round of 32,S_R32_04,New Mexico,10,Michigan State,2,S_S16_02,2,,31,2.2782143186551544,11,2.583958886204643,Michigan State,New Mexico,0.6246338401943718,-0.04056019309873382,-0.4465721892250755,FALSE,Michigan State,2
3,East,Round of 32,E_R32_01,Duke,1,Baylor,9,E_S16_01,1,,1,3.385481141032093,36,2.20878646919002,Duke,Baylor,2.403978319222306,-0.4734810362550796,-2.0360669437495784,FALSE,Duke,1
3,East,Round of 32,E_R32_02,Liberty,12,Arizona,4,E_S16_01,2,,21,2.382425812099422,16,2.48595695948907,Arizona,Liberty,0.2115133514621082,0.49336704533577114,0.3558833668854008,TRUE,Liberty,12
3,East,Round of 32,E_R32_03,Virginia Commonwealth,11,Wisconsin,3,E_S16_02,1,,12,2.5612102076885095,25,2.33524138062799,Virginia Commonwealth,Wisconsin,0.4616526054487745,-0.30235947753496234,-0.6024336710766658,FALSE,Virginia Commonwealth,11
3,East,Round of 32,E_R32_04,Saint Mary's,7,Alabama,2,E_S16_02,2,,13,2.524726480639323,6,2.77640867454779,Alabama,Saint Mary's,0.5141848195361448,0.08166374011484684,-0.2525563925836473,FALSE,Alabama,2
3,West,Round of 32,W_R32_01,Florida,1,Connecticut,8,W_S16_01,1,,3,3.039703092575274,37,2.1992461241972614,Florida,Connecticut,1.7170472328706332,-0.268293943350362,-1.3843746447162735,FALSE,Florida,1
3,West,Round of 32,W_R32_02,Memphis,5,Maryland,4,W_S16_01,2,,42,2.1072181639284406,8,2.7453717330322727,Maryland,Memphis,1.3037429174879802,-0.14724307027343592,-0.9946759666406231,FALSE,Maryland,4
3,West,Round of 32,W_R32_03,Missouri,6,Texas Tech,3,W_S16_02,1,,17,2.4811627769226647,10,2.6732068605812658,Texas Tech,Missouri,0.3923446111364338,-0.2470469201730092,-0.5020709174116912,FALSE,Texas Tech,3
3,West,Round of 32,W_R32_04,Kansas,7,St. John's (NY),2,W_S16_02,2,,35,2.215675407087587,15,2.4874002529796604,St. John's (NY),Kansas,0.5551318060240503,-0.24052338219310693,-0.6013590561087396,FALSE,St. John's (NY),2
3,Midwest,Round of 32,M_R32_01,Houston,1,Gonzaga,8,M_S16_01,1,,4,3.0023713597900503,5,2.8979790631644384,Houston,Gonzaga,0.21327267284123175,-0.234924638180675,-0.3735518755274756,FALSE,Houston,1
3,Midwest,Round of 32,M_R32_02,Clemson,5,Purdue,4,M_S16_01,2,,23,2.362417014812336,22,2.3816427703128564,Purdue,Clemson,0.03927807314837839,0.05585304669622602,0.030322299149780064,FALSE,Purdue,4
3,Midwest,Round of 32,M_R32_03,Illinois,6,Kentucky,3,M_S16_02,1,,19,2.46059147574095,14,2.5030302958902775,Kentucky,Illinois,0.08670218874420998,-0.4268296616090658,-0.4831860842928023,FALSE,Kentucky,3
3,Midwest,Round of 32,M_R32_04,UCLA,7,Tennessee,2,M_S16_02,2,,27,2.3204862041174343,7,2.762518249969838,Tennessee,UCLA,0.9030681280872477,-0.05701772721029611,-0.6440120104670071,FALSE,Tennessee,2
4,South,Sweet 16,S_S16_01,Auburn,1,UC San Diego,12,S_E8_01,1,,2,3.1539289688098515,9,2.7123291244522254,Auburn,UC San Diego,0.9021851437006909,0.5294876898418862,-0.05693265356356292,FALSE,Auburn,1
4,South,Sweet 16,S_S16_02,Iowa State,3,Michigan State,2,S_E8_01,2,,18,2.4730819740570373,11,2.583958886204643,Michigan State,Iowa State,0.22652069333151026,-0.003788689561057171,-0.15102714022653885,FALSE,Michigan State,2
4,East,Sweet 16,E_S16_01,Duke,1,Liberty,12,E_E8_01,1,,1,3.385481141032093,21,2.382425812099422,Duke,Liberty,2.049234454303851,0.13967849102566796,-1.1923239042718354,FALSE,Duke,1
