championship_similarity_rank,season,team,championship_similarity_score,mahalanobis_distance,mahalanobis_distance_squared,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
23,2024,Purdue,0,34.19810802305751,1169.5105923567103,5.317722818827009,-13.829763471758534,8.487591642807796,6.6835191851198585,-12.534333307031893,-27.799302792332675,-6.2399658251079595,-1.7398655713782043
24,2024,Oregon,0,34.5846646571819,1196.0990294497267,-14.546010483066063,9.822823643353212,20.98454878950486,-5.628468918834768,24.76302572009618,-8.126592850697628,-7.818739719535485,1.5037617305518194
25,2024,Kentucky,0,35.92873766711667,1290.8741903524883,10.873659393643768,-1.70480838720944,23.754179457064275,12.057870516608181,17.4764232621902,-6.386444601494015,-15.077439208576983,1.3366222788223172
26,2024,Nevada,0,36.00573163952764,1296.4127108976818,-14.129600321018545,-3.9642979867512804,11.030789434897871,7.518400712459022,24.611947291640437,-5.556601388756142,-19.32805251522425,3.9014020933418667
27,2024,Washington State,0,36.546771209148574,1335.6664858138508,-21.19803946576807,-5.759835466018068,16.147527736880704,-4.72332281537305,5.101802007669467,-25.36356809096934,-15.358365003652766,-4.68757044950587
28,2024,UConn,0,36.901402878130725,1361.7135343741145,1.7103788711268033,-17.745259673323464,19.622893203121304,3.9185587847651258,13.996973810381604,-17.648597000900885,-7.8289318483784305,-13.260790683390447
29,2024,James Madison,0,37.344218994015485,1394.5906922729866,-14.623757587215149,-9.358041174445583,15.84151771638575,2.9107118639304645,35.109892992670694,-0.39687119544244176,0.03352653701206193,3.0600334129779667
30,2024,Nebraska,0,37.97905245391155,1442.408425296965,-12.784418133805941,-3.984738518410119,32.7395272012438,21.93292106829965,5.706158174239917,-10.549015006681016,-0.5944931193561094,-6.423562934819657
31,2024,Florida,0,38.21504914963136,1460.3899815087407,-17.334571600984077,-1.292345406612651,8.84738772345591,1.3665054075870957,3.0724603088831497,-34.34687754274575,-6.628616570229268,-9.673944858716823
32,2024,Duquesne,0,38.323758891063775,1468.71049554039,-33.8621740866207,2.812627403981533,11.582121738898168,14.048931640873665,21.442015676836327,-1.8897920581822478,17.334661775703356,2.2051348596987115
33,2024,Dayton,0,38.72858526719733,1499.903316798574,12.415488697523248,-6.957612954849297,32.826588216089306,24.164654779683243,-4.352371074849145,-7.162886911029787,-7.526441818964065,-2.306971074351571
34,2024,Long Beach State,0,39.802502268805966,1584.2391868583043,-39.9064640170563,9.22357199793186,-4.962039139384875,0.7225299502574711,18.56835118168162,-14.0909904401023,12.658986473954322,16.36121258000144
35,2024,Auburn,0,40.75800715938018,1661.215147604086,-16.13731013644622,-13.107984184889363,12.170172375213543,18.235257291415998,27.90566599537823,-11.018870511150475,-10.044858353896302,-7.917569823786967
36,2024,Saint Mary's,0,40.95501874859064,1677.313560697411,-21.321952461199544,-18.311018904104078,18.52427541896284,-12.858487060333541,9.722354853771277,-26.08429714798813,-3.9873923599144563,-11.309090750756457
37,2024,Morehead State,0,41.439402715020655,1717.2240973776613,-11.693611401709884,-19.374437925295645,22.927935606853108,17.389661997103104,-9.704080986784984,-13.591501696416746,15.538310035151506,-14.091686513526872
38,2024,Gonzaga,0,41.466541126099116,1719.4740329624692,5.710675202200882,-10.937069106762921,20.51057608498594,4.102787581686115,10.763664996310585,-24.579153502631613,-18.32924848868817,9.112434778554334
39,2024,Montana State,0,41.71622743721404,1740.2436315933692,-9.02800825707996,10.843790835937234,20.800996030980183,16.237647919893824,24.94289093335192,19.13711425925732,12.603451135584228,4.000340610276269
40,2024,Stetson,0,41.791742803699684,1746.5497665705846,6.175528359467565,4.772811726135171,34.76584996972089,11.654972681201794,1.0144282461219465,-21.431426568605048,-12.235670344687573,-5.533175932694859
41,2024,BYU,0,41.83828510320151,1750.4421003767734,1.004270795348088,-8.061995878597466,35.060967988644485,-0.7767204193590078,7.662691136452996,-7.530624941652505,4.726254797212411,-24.26576799120831
42,2024,Yale,0,42.80383417119509,1832.1682197551684,-11.850032580243738,-0.91215423877601,29.166737023201307,-11.805807100121536,18.73580592057926,-16.87348267670876,-17.02708841010095,1.0760317129396126
43,2024,Clemson,0,43.61665606689215,1902.4126864575599,-0.4378438627946951,-2.187018687221474,31.50679767350867,5.178702907462726,-4.760569716160897,-18.00743979203568,-19.679942847979905,-15.355263925009552
44,2024,TCU,0,43.83765900190743,1921.740346767516,-25.884959620682068,1.3108629766725193,-8.52141516132649,4.133351435560358,28.74300070119242,-0.35654728755406406,20.172008039113944,17.772857708484366
45,2024,Tennessee,0,43.86193830492326,1923.869631864894,-23.065131337590053,-7.890776392778958,21.842634350649394,5.492184367348439,32.22754987604536,-13.090644905029357,-7.436520780918969,-8.924417020074056
46,2024,Longwood,0,44.09608028769973,1944.4642967392604,-37.9516120518357,0.4776951985460314,-14.940399672796714,-8.336131460305017,20.72354847257955,-14.448733494202957,20.58107571696019,11.583606104842286
47,2024,Michigan State,0,46.66600394161109,2177.7159238784616,-26.203337538796788,1.6258932385129161,20.047561852016557,-4.5718420195806395,33.07144906286411,-16.536831812175325,-14.599947537721647,9.528176899086768
48,2024,South Carolina,0,47.47845381943699,2254.2035770844113,-17.059234278933502,-0.5542269234361008,32.13841730908322,0.4985632067628517,8.036801012299824,-25.616470170242582,-14.472458128920414,-18.102140931761387
49,2024,Drake,0,47.63873939523657,2269.4494911672646,1.7169305828775707,2.4318891694166447,30.007339687855882,-7.081766807204176,30.162862397338706,2.181730574285717,-20.84243133425157,-2.1505371858004887
50,2024,College of Charleston,0,50.42362728689272,2542.542188767472,-7.753806326723037,4.30281750893321,36.812130451654525,-14.866256276075779,23.188363299246475,-19.040822973250346,-5.691797602444617,-17.61738379955144
51,2024,UNC,0,50.657080119680884,2566.1397662517684,-17.86769699029318,-9.097547683518913,24.946074508754208,-7.048461768888429,4.592312418616293,-28.626142479829838,-26.143023409937783,-11.364185138254292
52,2024,Illinois,0,50.84498677372785,2585.2126800205597,-0.32015585953081116,-7.983436604537419,23.205785261201484,1.8249725723146983,-11.842753475734813,-34.7323011971498,-20.12565500191743,-15.765368859969517
53,2024,New Mexico,0,51.08578965355137,2609.7579045268967,-28.255847146398718,0.9601789657112401,10.80361826966785,-14.369408364433644,43.94654395721623,-12.749921356475967,-10.749412497995626,9.002155993574128
54,2024,NC State,0,51.353044208420215,2637.135149471961,-22.394424390071755,11.357248857612687,20.963178177643954,-11.615643111685108,37.43280284127819,-16.630875256294896,-16.98755698401943,2.896229651455836
55,2024,Marquette,0,52.043828763372844,2708.5601123512747,-4.516002840668944,4.816945514757826,28.62713099675507,6.174196645440929,42.733973997630244,7.300585203045042,8.69996931504067,14.994026370036583
56,2024,Grambling,0,52.69384479010435,2776.6412787636077,-45.05765468260569,8.849363768603345,-5.262779747712098,23.765997087105376,8.899747759959336,-11.032096689050038,21.962592864971757,21.849707301254654
57,2024,Saint Peter's,0,54.384655908726025,2957.690798310529,-66.26776683108314,6.490083621447811,-6.7337818537128,0.4343826995071396,35.66312106897378,-9.791621902344318,17.38557457522864,2.1681063759238217
58,2024,Vermont,0,56.27966098322674,3167.4002403869345,-6.291636009274567,-5.535272447458109,49.93118442528525,1.3714855357342977,8.94850828180764,-11.311500742970745,-25.032951939667633,-12.93767956034321
59,2024,Samford,0,58.393272374034076,3409.774258548131,-4.883873995297847,-2.0688889046694188,0.6740660062537169,30.129420894355498,30.516643755565045,20.5883824340277,30.838873642250544,13.177938302440127
60,2024,Northwestern,0,58.51305705993559,3423.777846499278,-10.074839415412848,10.2131480314059,22.795268299504443,-8.848471370334845,50.118777719996906,0.22282419427091282,-19.001791740359263,-0.5041038054803035
61,2024,Wagner,0,64.17950566153073,4119.0089469584545,-48.68196279026245,9.70020625349129,37.76305561839564,-20.081439379823063,29.1020376470117,-29.575442009467427,-15.430908876735808,-9.86029977244754
62,2024,McNeese,0,64.95467174148534,4219.109381044114,-16.76395235450811,-9.823738559544669,7.11371376033593,1.984310868337229,64.05879877752223,4.649143013671169,2.2041230776939114,22.39890596035368
63,2024,Howard,0,65.66442031388159,4311.816095158106,-24.881898602164252,1.7866637970268053,-12.757081967411393,37.5919120359924,-11.952902629205452,2.1534321789825652,41.76594234413555,1.3201328503256615
64,2024,Creighton,0,66.75125596031332,4455.7301722792645,23.832515912892514,-11.283207089244451,58.124105095295235,16.250834560723977,-25.410644089058646,-19.75924947602671,-17.55089012437187,-16.208389525532777
65,2024,Virginia,0,68.63322865987752,4710.520076279033,-37.479500074134044,4.123868670781617,38.73364680381993,-10.919793873461673,44.22845642881995,-18.130966387714317,-23.875369670498838,12.107880572341037
66,2024,Texas A&M,0,70.46748247725343,4965.666086682019,-44.34227549417887,8.542298822871844,17.832558046906854,-29.447094757407626,31.652354172058892,-46.23629260457019,-11.252629180629528,-16.57909915523883
67,2024,Iowa State,0,80.49316710789363,6479.149951059288,-42.50767585666927,-0.7802891720674815,-3.8997914210091746,-0.6226944114349334,69.32607760757669,14.449463147336541,23.39557867226158,28.769048121014364
68,2024,Houston,0,84.38889179349347,7121.48505813395,-46.34009560509196,-6.895939588769138,11.719270971674064,-21.6046388388042,82.41889085086356,-8.037831734910997,1.66137369785021,4.811234557247226
