round,region,bracket_game_id,team1,team2,team1_win_probability,team2_win_probability,quality_edge,three_point_edge,turnover_edge,rebounding_edge,defensive_resistance_edge,winner,loser
Round of 64,South,S_R64_01,Florida,Prairie View A&M,0.95,0.050000000000000044,3.4898391682846785,0.08709868345798477,-0.9540903376247161,3.7070780762927047,1.468329896911246,Florida,Prairie View A&M
Round of 64,South,S_R64_02,Clemson,Iowa,0.37540645239522036,0.6245935476047797,-0.4064435048032603,-0.23766053229648482,-0.6422467132806748,0.1702234302232599,0.7324255978039504,Clemson,Iowa
Round of 64,South,S_R64_03,Vanderbilt,McNeese,0.614437566549094,0.385562433450906,0.5124738454721641,1.485518361829619,-1.3150057502127526,-0.2535710987109263,-0.6907964207494984,Vanderbilt,McNeese
Round of 64,South,S_R64_04,Nebraska,Troy,0.8631982743610223,0.13680172563897774,1.1174183273097853,0.682959768235321,0.6912214011075436,-0.32770540955751004,0.8359600105641058,Nebraska,Troy
Round of 64,South,S_R64_05,North Carolina,Virginia Commonwealth,0.40431608444710737,0.5956839155528926,-0.032579620145708976,-0.6179174634972939,-0.6050577792529137,0.07717842929161117,0.09835302531775247,Virginia Commonwealth,North Carolina
Round of 64,South,S_R64_06,Illinois,Penn,0.95,0.050000000000000044,2.6277262028537143,-0.4253237953159034,-0.7663601624752876,1.3075233106355573,1.0663226877968448,Illinois,Penn
Round of 64,South,S_R64_07,Saint Mary's,Texas A&M,0.9034683215565985,0.09653167844340149,0.9704557646573404,0.40269297649449975,-0.9128008223322017,2.6350019024629114,1.8509712953245323,Saint Mary's,Texas A&M
Round of 64,South,S_R64_08,Houston,Idaho,0.95,0.050000000000000044,2.530168746243961,0.07028766957532444,2.123503904249141,-0.3492854642306875,1.538126221255522,Houston,Idaho
Round of 64,West,W_R64_01,Arizona,LIU,0.95,0.050000000000000044,3.969680271396645,-0.20403883297729364,0.7460274842408761,1.5235786705899974,2.0055864086989565,Arizona,LIU
Round of 64,West,W_R64_02,Villanova,Utah State,0.18893033250899183,0.8110696674910082,-1.0277822702911674,-0.13714867720380633,0.06838145101410448,-0.2137276782975464,-0.7336804061488773,Utah State,Villanova
Round of 64,West,W_R64_03,Wisconsin,High Point,0.0962860744877585,0.9037139255122415,-1.066717304134789,0.25548582070224796,-1.9886052761269037,-0.16319514814584365,-1.8253766544752497,High Point,Wisconsin
Round of 64,West,W_R64_04,Arkansas,Hawaii,0.7838425513472714,0.21615744865272857,1.147536007883446,1.3305851685854264,1.2557973350522686,-1.241206538654056,-2.0061894210556654,Arkansas,Hawaii
Round of 64,West,W_R64_05,Brigham Young,North Carolina State,0.5386918115705724,0.46130818842942756,0.30366012962018646,-1.3067152851798047,-0.8213970470665735,1.1543867843561397,0.6532862704304618,North Carolina State,Brigham Young
Round of 64,West,W_R64_06,Gonzaga,Kennesaw State,0.95,0.050000000000000044,2.244266629099802,-0.7562456876723725,1.5870666200673793,0.15676460777725132,1.5460564915208181,Gonzaga,Kennesaw State
Round of 64,West,W_R64_07,Miami (FL),Missouri,0.8441885776576753,0.1558114223423247,0.9296393779171676,-0.37850711963823214,0.8629098022598495,1.0179041523629935,0.7555099155162268,Miami (FL),Missouri
Round of 64,West,W_R64_08,Purdue,Queens (NC),0.95,0.050000000000000044,2.692105316792411,0.7380017561160386,0.8065208876014577,1.7736467380829113,1.3192361255484397,Purdue,Queens (NC)
Round of 32,East,E_R32_01,Duke,Ohio State,0.95,0.050000000000000044,2.3620258175293936,0.005676446669512419,0.6195985876375902,2.129065436954325,2.4552107589773335,Duke,Ohio State
Round of 32,East,E_R32_02,St. John's (NY),California Baptist,0.9038903123516833,0.09610968764831669,1.8727676030318414,-0.32074677293704124,1.0177746647250483,-0.4176691961398056,0.07905953884626693,St. John's (NY),California Baptist
Round of 32,East,E_R32_03,Louisville,Michigan State,0.5475783303539994,0.4524216696460006,0.18287898791522816,0.8336008672263686,0.3571133675356658,-1.413133408880073,0.022503003871171406,Michigan State,Louisville
Round of 32,East,E_R32_04,UCLA,Connecticut,0.1309841663200083,0.8690158336799917,-1.2484135284523532,0.5417146470298708,0.6445877903779986,-1.2786555966518716,-1.8239564976919787,Connecticut,UCLA
Round of 32,Midwest,M_R32_01,Michigan,Saint Louis,0.6802658266504588,0.31973417334954124,0.8598584965602878,-1.2117616053565703,0.12483644568299329,0.4343004391619244,0.09012770568103434,Michigan,Saint Louis
Round of 32,Midwest,M_R32_02,Texas Tech,Alabama,0.6241282770735683,0.3758717229264316,-0.06439699393634024,0.9664649069588647,-0.14367509427138092,0.6959832927933273,0.30883745103675553,Alabama,Texas Tech
Round of 32,Midwest,M_R32_03,Miami (OH),Virginia,0.38980243134411724,0.6101975686558827,-0.2551562521398677,0.7019810161949092,0.7936496384742794,-1.4149157136269046,-0.8561064258568526,Virginia,Miami (OH)
Round of 32,Midwest,M_R32_04,Santa Clara,Iowa State,0.10383570738958914,0.8961642926104109,-1.1141848713381612,-0.7018643894916102,-0.5063805429894797,-0.5213479166718327,-1.280120675167892,Iowa State,Santa Clara
Round of 32,South,S_R32_01,Florida,Clemson,0.9024227804679044,0.0975772195320957,1.7070345781915144,-1.19225513113831,-0.8384055547483097,2.228488222791711,1.0464551822442636,Florida,Clemson
