round_number,region,round,bracket_game_id,team1,team1_seed,team2,team2_seed,next_game_id,next_slot,source_game_url,team1_championship_rank,team1_championship_score,team1_adjusted_finish_score,team2_championship_rank,team2_championship_score,team2_adjusted_finish_score,baseline_favorite,baseline_underdog,baseline_favorite_score,baseline_underdog_score,baseline_quality_gap
2,East,Round of 64,E_R64_02,Baylor,9,Mississippi State,8,E_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-12-mississippi-state.html,36,47.76119402985075,2.20878646919002,48,29.850746268656717,2.026615557332762,Baylor,Mississippi State,2.20878646919002,2.026615557332762,0.18217091185725787
2,East,Round of 64,E_R64_03,Liberty,12,Oregon,5,E_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-22-oregon.html,21,70.14925373134328,2.382425812099422,41,40.298507462686565,2.1081845270084605,Liberty,Oregon,2.382425812099422,2.1081845270084605,0.27424128509096146
2,East,Round of 64,E_R64_04,Akron,13,Arizona,4,E_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-19-arizona.html,44,35.82089552238806,2.086987306920169,16,77.61194029850746,2.48595695948907,Arizona,Akron,2.48595695948907,2.086987306920169,0.3989696525689008
2,East,Round of 64,E_R64_05,Virginia Commonwealth,11,Brigham Young,6,E_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-16-brigham-young.html,12,83.58208955223881,2.5612102076885095,24,65.67164179104478,2.3365329531517367,Virginia Commonwealth,Brigham Young,2.5612102076885095,2.3365329531517367,0.22467725453677279
2,East,Round of 64,E_R64_06,Montana,14,Wisconsin,3,E_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-13-wisconsin.html,62,8.955223880597014,1.455103974189695,25,64.17910447761194,2.33524138062799,Wisconsin,Montana,2.33524138062799,1.455103974189695,0.880137406438295
2,East,Round of 64,E_R64_07,Vanderbilt,10,Saint Mary's,7,E_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-15-saint-marys-ca.html,55,19.402985074626866,1.87521327962562,13,82.08955223880596,2.524726480639323,Saint Mary's,Vanderbilt,2.524726480639323,1.87521327962562,0.6495132010137028
2,East,Round of 64,E_R64_08,Robert Morris,15,Alabama,2,E_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-12-alabama.html,61,10.447761194029852,1.556323488020794,6,92.53731343283582,2.77640867454779,Alabama,Robert Morris,2.77640867454779,1.556323488020794,1.2200851865269962
2,West,Round of 64,W_R64_01,Norfolk State,16,Florida,1,W_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-18-florida.html,60,11.940298507462687,1.659393930083981,3,97.01492537313432,3.039703092575274,Florida,Norfolk State,3.039703092575274,1.659393930083981,1.3803091624912929
2,West,Round of 64,W_R64_02,Oklahoma,9,Connecticut,8,W_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-21-connecticut.html,57,16.417910447761194,1.8253383621125951,37,46.26865671641791,2.1992461241972614,Connecticut,Oklahoma,2.1992461241972614,1.8253383621125951,0.37390776208466625
2,West,Round of 64,W_R64_03,Colorado State,12,Memphis,5,W_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-14-memphis.html,45,34.32835820895522,2.043550309005483,42,38.80597014925373,2.1072181639284406,Memphis,Colorado State,2.1072181639284406,2.043550309005483,0.06366785492295746
