Team,SOS,Rank,Opp Record,Opp Win Percent
McNeese,0.4632,276,402-452,0.4707
Nicholls,0.4617,277,408-464,0.4679
Portland State,0.4616,278,389-467,0.4544
Hampton,0.4612,279,417-483,0.4633
Lipscomb,0.4598,280,398-476,0.4554
Texas Southern,0.4593,281,448-510,0.4676
Idaho,0.4589,282,404-487,0.4534
Stonehill,0.4583,283,413-463,0.4715
UMKC,0.4582,284,378-448,0.4576
Tennessee-Martin,0.4578,285,371-426,0.4655
Jacksonville State,0.4576,286,376-466,0.4466
Idaho State,0.4573,287,419-509,0.4515
Tennessee Tech,0.4569,288,369-428,0.463
Quinnipiac,0.4565,289,446-537,0.4537
North Alabama,0.4558,290,388-470,0.4522
IUPUI,0.4553,291,394-476,0.4529
Southeast Missouri,0.4545,292,358-417,0.4619
Eastern Illinois,0.4541,293,370-431,0.4619
UMBC,0.4539,294,399-494,0.4468
Mississippi Valley State,0.4536,295,427-504,0.4586
James Madison,0.4529,296,462-588,0.44
Purdue Fort Wayne,0.4526,297,451-554,0.4488
Cal State Northridge,0.4516,298,411-522,0.4405
Alcorn State,0.4511,299,422-521,0.4475
Denver,0.4506,300,381-464,0.4509
Campbell,0.4505,301,380-478,0.4429
Tennessee State,0.4504,302,376-446,0.4574
William & Mary,0.45,303,413-514,0.4455
Bucknell,0.4491,304,444-529,0.4563
North Florida,0.4486,305,375-478,0.4396
Morgan State,0.4485,306,378-440,0.4621
Texas A&M-Commerce,0.4485,307,393-471,0.4549
Alabama State,0.4484,308,387-479,0.4469
Alabama A&M,0.4484,309,464-569,0.4492
Southeastern Louisiana,0.4471,310,373-453,0.4516
Elon,0.4469,311,391-503,0.4374
Jacksonville,0.4467,312,380-484,0.4398
Southern,0.4464,313,387-484,0.4443
Lafayette,0.4458,314,412-502,0.4508
Niagara,0.4455,315,401-518,0.4363
Houston Christian,0.4442,316,346-441,0.4396
Kennesaw State,0.4434,317,348-461,0.4302
Merrimack,0.443,318,401-494,0.448
South Carolina State,0.4429,319,385-477,0.4466
Western Illinois,0.4428,320,363-457,0.4427
Eastern Michigan,0.4426,321,371-494,0.4289
Omaha,0.4419,322,360-465,0.4364
SIUE,0.4417,323,368-471,0.4386
