team,href,team_url,gamelog_url
Texas A&M,/cbb/schools/texas-am/men/2026.html,https://www.sports-reference.com/cbb/schools/texas-am/men/2026.html,https://www.sports-reference.com/cbb/schools/texas-am/men/2026-gamelogs.html
Texas Tech,/cbb/schools/texas-tech/men/2026.html,https://www.sports-reference.com/cbb/schools/texas-tech/men/2026.html,https://www.sports-reference.com/cbb/schools/texas-tech/men/2026-gamelogs.html
Troy,/cbb/schools/troy/men/2026.html,https://www.sports-reference.com/cbb/schools/troy/men/2026.html,https://www.sports-reference.com/cbb/schools/troy/men/2026-gamelogs.html
UCF,/cbb/schools/central-florida/men/2026.html,https://www.sports-reference.com/cbb/schools/central-florida/men/2026.html,https://www.sports-reference.com/cbb/schools/central-florida/men/2026-gamelogs.html
UCLA,/cbb/schools/ucla/men/2026.html,https://www.sports-reference.com/cbb/schools/ucla/men/2026.html,https://www.sports-reference.com/cbb/schools/ucla/men/2026-gamelogs.html
UConn,/cbb/schools/connecticut/men/2026.html,https://www.sports-reference.com/cbb/schools/connecticut/men/2026.html,https://www.sports-reference.com/cbb/schools/connecticut/men/2026-gamelogs.html
UMBC,/cbb/schools/maryland-baltimore-county/men/2026.html,https://www.sports-reference.com/cbb/schools/maryland-baltimore-county/men/2026.html,https://www.sports-reference.com/cbb/schools/maryland-baltimore-county/men/2026-gamelogs.html
UNC,/cbb/schools/north-carolina/men/2026.html,https://www.sports-reference.com/cbb/schools/north-carolina/men/2026.html,https://www.sports-reference.com/cbb/schools/north-carolina/men/2026-gamelogs.html
Utah State,/cbb/schools/utah-state/men/2026.html,https://www.sports-reference.com/cbb/schools/utah-state/men/2026.html,https://www.sports-reference.com/cbb/schools/utah-state/men/2026-gamelogs.html
VCU,/cbb/schools/virginia-commonwealth/men/2026.html,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2026.html,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2026-gamelogs.html
Vanderbilt,/cbb/schools/vanderbilt/men/2026.html,https://www.sports-reference.com/cbb/schools/vanderbilt/men/2026.html,https://www.sports-reference.com/cbb/schools/vanderbilt/men/2026-gamelogs.html
Villanova,/cbb/schools/villanova/men/2026.html,https://www.sports-reference.com/cbb/schools/villanova/men/2026.html,https://www.sports-reference.com/cbb/schools/villanova/men/2026-gamelogs.html
Virginia,/cbb/schools/virginia/men/2026.html,https://www.sports-reference.com/cbb/schools/virginia/men/2026.html,https://www.sports-reference.com/cbb/schools/virginia/men/2026-gamelogs.html
Wisconsin,/cbb/schools/wisconsin/men/2026.html,https://www.sports-reference.com/cbb/schools/wisconsin/men/2026.html,https://www.sports-reference.com/cbb/schools/wisconsin/men/2026-gamelogs.html
Wright State,/cbb/schools/wright-state/men/2026.html,https://www.sports-reference.com/cbb/schools/wright-state/men/2026.html,https://www.sports-reference.com/cbb/schools/wright-state/men/2026-gamelogs.html
