season,team,team_slug,gamelog_url,game_number,game_date,location,opponent,game_result,points,opponent_points,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_fg2,opponent_fg2a,opponent_fg2_pct,opponent_fg3,opponent_fg3a,opponent_fg3_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_drb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,win,loss,raw_possessions,opponent_raw_possessions,estimated_possessions,offensive_rating,defensive_rating,efg_pct,opponent_efg_pct,true_shooting_pct,ft_rate,opponent_ft_rate,fg3_attempt_rate,tov_pct,forced_tov_pct,orb_pct,drb_pct,point_margin
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-02,,,,,,25,53,0.472,17,29,0.586,8,24,0.333,19,26,0.731,5,26,31,15,3,7,11,18,26,60,0.433,24,48,0.5,2,12,0.167,16,21,0.762,5,24,29,12,3,1,8,20,,,71.35,72.975,72.1625,,,0.5471698113207547,0.45,,0.49056603773584906,0.35,0.4528301886792453,0.1440733464309103,0.10259698621352999,0.1724137931034483,0.8387096774193549,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-06,,,,,,25,70,0.357,16,38,0.421,9,32,0.281,9,12,0.75,14,28,42,12,1,2,5,16,16,52,0.308,12,27,0.444,4,25,0.16,11,15,0.733,4,25,29,4,4,7,7,14,,,66.7,62.125,64.4125,,,0.42142857142857143,0.34615384615384615,,0.17142857142857143,0.28846153846153844,0.45714285714285713,0.06195786864931846,0.10586011342155009,0.358974358974359,0.875,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-10,@,,,,,19,56,0.339,14,27,0.519,5,29,0.172,16,20,0.8,11,17,28,6,6,2,12,14,28,55,0.509,21,36,0.583,7,19,0.368,10,15,0.667,8,24,32,17,7,2,10,17,,,66.5,64.125,65.3125,,,0.38392857142857145,0.5727272727272728,,0.35714285714285715,0.2727272727272727,0.5178571428571429,0.15483870967741936,0.1386481802426343,0.3142857142857143,0.68,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-17,@,,,,,28,60,0.467,21,37,0.568,7,23,0.304,10,21,0.476,11,28,39,14,6,1,9,14,23,60,0.383,19,37,0.514,4,23,0.174,12,13,0.923,8,25,33,14,6,4,10,16,,,67.975,68.175,68.07499999999999,,,0.525,0.4166666666666667,,0.35,0.21666666666666667,0.38333333333333336,0.11396011396011396,0.13127666557269446,0.3055555555555556,0.7777777777777778,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-20,@,,,,,23,58,0.397,16,31,0.516,7,27,0.259,11,15,0.733,12,28,40,10,1,3,13,18,27,64,0.422,19,41,0.463,8,23,0.348,10,18,0.556,12,24,36,15,10,0,7,15,,,66.125,67.55,66.8375,,,0.45689655172413796,0.484375,,0.25862068965517243,0.28125,0.46551724137931033,0.1664,0.08799497171590195,0.3333333333333333,0.7,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-23,,,,,,30,60,0.5,22,39,0.564,8,21,0.381,15,19,0.789,11,21,32,13,5,1,9,15,27,57,0.474,18,36,0.5,9,21,0.429,7,10,0.7,9,20,29,15,4,2,12,18,,,67.025,64.75,65.8875,,,0.5666666666666667,0.5526315789473685,,0.31666666666666665,0.17543859649122806,0.35,0.11534764498558153,0.16271186440677965,0.3548387096774194,0.7,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-27,@,,,,,26,56,0.464,20,39,0.513,6,17,0.353,9,15,0.6,7,25,32,10,3,5,11,20,25,55,0.455,18,28,0.643,7,27,0.259,17,20,0.85,4,25,29,11,7,5,6,19,,,67.125,66.5,66.8125,,,0.5178571428571429,0.5181818181818182,,0.26785714285714285,0.36363636363636365,0.30357142857142855,0.14839797639123103,0.0851063829787234,0.21875,0.8620689655172413,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-03-02,,,,,,24,56,0.429,15,27,0.556,9,29,0.31,23,31,0.742,13,22,35,15,3,3,8,20,25,54,0.463,15,26,0.577,10,28,0.357,13,23,0.565,5,22,27,9,5,2,9,24,,,65.725,68.925,67.32499999999999,,,0.5089285714285714,0.5555555555555556,,0.5535714285714286,0.42592592592592593,0.5178571428571429,0.1016195617656399,0.1217450118363206,0.37142857142857144,0.8148148148148148,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-03-05,,,,,,22,46,0.478,18,26,0.692,4,20,0.2,12,17,0.706,8,20,28,13,6,5,14,11,26,60,0.433,22,45,0.489,4,15,0.267,5,9,0.556,15,19,34,9,6,1,9,17,,,60.075,58.275,59.175,,,0.5217391304347826,0.4666666666666667,,0.3695652173913043,0.15,0.43478260869565216,0.2056555269922879,0.12282497441146366,0.2962962962962963,0.5714285714285714,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-03-08,@,,,,,32,63,0.508,23,41,0.561,9,22,0.409,11,14,0.786,6,21,27,14,6,0,9,26,29,57,0.509,23,35,0.657,6,22,0.273,26,35,0.743,12,24,36,9,3,2,8,15,,,72.65,69.625,71.1375,,,0.5793650793650794,0.5614035087719298,,0.2222222222222222,0.6140350877192983,0.3492063492063492,0.1144310235219326,0.09800918836140889,0.2,0.6363636363636364,
