team,games,wins,losses,team_game_score,opp_team_game_score,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
Kentucky,31,23,8,89.51612903225806,79.12903225806451,32.225806451612904,64.87096774193549,0.4983225806451613,22.322580645161292,40.83870967741935,0.5541290322580645,9.903225806451612,24.032258064516128,0.4057741935483871,0.5740645161290323,15.161290322580646,19.580645161290324,0.7783870967741936,8.290322580645162,25.967741935483872,34.25806451612903,17.451612903225808,7.806451612903226,6.161290322580645,10.258064516129032,17.258064516129032,27.70967741935484,64.70967741935483,0.42870967741935484,19.35483870967742,38.83870967741935,0.49748387096774194,8.35483870967742,25.870967741935484,0.3197741935483871,0.49296774193548387,15.35483870967742,21.35483870967742,0.7120645161290322,9.67741935483871,23.516129032258064,33.193548387096776,14.483870967741936,6.354838709677419,3.6129032258064515,11.806451612903226,17
Long Beach State,32,18,14,77.4375,76.0625,27.65625,61.9375,0.44746875,22.34375,44.28125,0.502375,5.3125,17.65625,0.30659375,0.4905,16.8125,23.90625,0.697625,10.75,24.28125,35.03125,15.25,8.28125,4.21875,12.71875,17.28125,26.34375,60.625,0.43771875,16.875,33.71875,0.50653125,9.46875,26.90625,0.36359375,0.5166875,13.90625,19.28125,0.71553125,8.75,22.75,31.5,15.71875,7.25,2.65625,13.5625,20.4375
Longwood,34,21,13,75.55882352941177,67.94117647058823,26.970588235294116,59.1764705882353,0.4577941176470588,21.147058823529413,42.205882352941174,0.5033529411764706,5.823529411764706,16.970588235294116,0.34291176470588236,0.5083235294117647,15.794117647058824,23.176470588235293,0.6703235294117647,12.441176470588236,23.941176470588236,36.38235294117647,12.852941176470589,7.0588235294117645,2.5588235294117645,11.970588235294118,18.323529411764707,23.705882352941178,54.38235294117647,0.43791176470588233,16.264705882352942,32.6764705882353,0.5062058823529412,7.4411764705882355,21.705882352941178,0.34297058823529414,0.5072058823529412,13.088235294117647,18.970588235294116,0.6869117647058823,7.0588235294117645,19.735294117647058,26.794117647058822,11.764705882352942,6.205882352941177,2.8823529411764706,13.058823529411764,19.58823529411765
Marquette,31,23,8,79.19354838709677,69.80645161290323,29.64516129032258,61.225806451612904,0.4846774193548387,20.70967741935484,36.096774193548384,0.5790967741935484,8.935483870967742,25.129032258064516,0.3550322580645161,0.558258064516129,10.96774193548387,15.483870967741936,0.7070322580645161,7.838709677419355,22.387096774193548,30.225806451612904,16.161290322580644,8.67741935483871,3.3548387096774195,9.903225806451612,15.193548387096774,24.774193548387096,57.903225806451616,0.4294193548387097,16.35483870967742,33.516129032258064,0.4974516129032258,8.419354838709678,24.387096774193548,0.34019354838709676,0.5026774193548387,11.838709677419354,15.806451612903226,0.7377096774193548,9.129032258064516,23.096774193548388,32.225806451612904,14.516129032258064,5.838709677419355,2.903225806451613,13.838709677419354,14.35483870967742
McNeese,33,30,3,80.42424242424242,61.515151515151516,28.78787878787879,58.42424242424242,0.4914545454545455,21.151515151515152,38.75757575757576,0.5436666666666666,7.636363636363637,19.666666666666668,0.39142424242424245,0.5568484848484848,15.212121212121213,22,0.6814242424242424,9.909090909090908,23.393939393939394,33.303030303030305,15.030303030303031,10.393939393939394,3.4242424242424243,9,17.333333333333332,20.636363636363637,53.60606060606061,0.38812121212121214,12.484848484848484,27.606060606060606,0.46045454545454545,8.151515151515152,26,0.30966666666666665,0.46530303030303033,12.090909090909092,17.03030303030303,0.7078787878787879,9.212121212121213,20.757575757575758,29.96969696969697,12.06060606060606,4.636363636363637,3.212121212121212,15.333333333333334,18
Michigan State,31,18,13,73.35483870967742,65.87096774193549,27.161290322580644,59.03225806451613,0.46206451612903227,20.64516129032258,40.935483870967744,0.507483870967742,6.516129032258065,18.096774193548388,0.3586451612903226,0.5179032258064517,12.516129032258064,17.741935483870968,0.711516129032258,8.67741935483871,23.06451612903226,31.741935483870968,16.258064516129032,7.225806451612903,3.806451612903226,9.193548387096774,16.193548387096776,22.774193548387096,55.58064516129032,0.4134193548387097,15.225806451612904,32.45161290322581,0.47125806451612906,7.548387096774194,23.129032258064516,0.32964516129032256,0.48258064516129034,12.774193548387096,17.70967741935484,0.714,8.129032258064516,22.161290322580644,30.29032258064516,12.32258064516129,5.129032258064516,3.161290322580645,11.806451612903226,17.096774193548388
Mississippi State,31,19,12,75.25806451612904,69.64516129032258,26.612903225806452,58.54838709677419,0.4562258064516129,19.129032258064516,35.806451612903224,0.5383870967741935,7.483870967741935,22.741935483870968,0.3285483870967742,0.5199032258064517,14.548387096774194,21.677419354838708,0.6642903225806451,10.903225806451612,24.64516129032258,35.54838709677419,14.483870967741936,7.903225806451613,3.161290322580645,12.35483870967742,16.774193548387096,24.322580645161292,58.064516129032256,0.418,17.35483870967742,34.354838709677416,0.5081612903225806,6.967741935483871,23.70967741935484,0.288,0.4774193548387097,14.03225806451613,18.70967741935484,0.7484193548387097,8.225806451612904,21.129032258064516,29.35483870967742,11.612903225806452,7.32258064516129,3.7419354838709675,11.580645161290322,18.06451612903226
Montana State,34,17,17,75.11764705882354,74.05882352941177,26.794117647058822,57.470588235294116,0.46802941176470586,17.794117647058822,32.970588235294116,0.5423823529411764,9,24.5,0.37326470588235294,0.5460588235294118,12.529411764705882,17.08823529411765,0.7252647058823529,5.911764705882353,22.441176470588236,28.352941176470587,13.088235294117647,8.235294117647058,2.3823529411764706,11.058823529411764,18.5,26.470588235294116,56.88235294117647,0.4661176470588235,19.88235294117647,37.14705882352941,0.5357058823529411,6.588235294117647,19.735294117647058,0.3371470588235294,0.5235882352941177,14.529411764705882,20.41176470588235,0.6957058823529412,8.029411764705882,24.5,32.529411764705884,12.352941176470589,5.911764705882353,2.4411764705882355,13.205882352941176,17.235294117647058
Morehead State,34,26,8,75.47058823529412,62.794117647058826,27,57.529411764705884,0.4718823529411765,17.647058823529413,31.58823529411765,0.5640588235294117,9.352941176470589,25.941176470588236,0.3579117647058824,0.553235294117647,12.117647058823529,17.176470588235293,0.7182647058823529,10.088235294117647,26.352941176470587,36.44117647058823,15.058823529411764,5.852941176470588,4.705882352941177,11.205882352941176,15.882352941176471,22.264705882352942,57.26470588235294,0.3930588235294118,16.705882352941178,38.470588235294116,0.4371470588235294,5.5588235294117645,18.794117647058822,0.2960294117647059,0.4416470588235294,12.705882352941176,16.91176470588235,0.736,7.676470588235294,19.235294117647058,26.91176470588235,9.029411764705882,5.9411764705882355,2.4411764705882355,10.176470588235293,15.823529411764707
NC State,33,19,14,76.3030303030303,72.93939393939394,27.333333333333332,61.303030303030305,0.4487878787878788,20.12121212121212,40.515151515151516,0.5017878787878788,7.212121212121212,20.78787878787879,0.3406363636363636,0.5080606060606061,14.424242424242424,19.666666666666668,0.7214545454545455,9.424242424242424,23.151515151515152,32.57575757575758,12.878787878787879,7.454545454545454,3.272727272727273,9.242424242424242,16.545454545454547,25.90909090909091,57.75757575757576,0.44884848484848483,18.727272727272727,37.54545454545455,0.5007878787878788,7.181818181818182,20.21212121212121,0.3530606060606061,0.5107878787878788,13.93939393939394,18.90909090909091,0.7424848484848485,8.424242424242424,24.242424242424242,32.666666666666664,12.606060606060606,5.181818181818182,3.1818181818181817,11.93939393939394,16.12121212121212
